Company ID,Company Name,Category,Website,Member 1 Name,Member 1 Title,Member 1 LinkedIn,Member 1 Location,Member 2 Name,Member 2 Title,Member 2 LinkedIn,Member 2 Location,Member 3 Name,Member 3 Title,Member 3 LinkedIn,Member 3 Location
vc-001,Balderton Capital,vc,https://balderton.com,Rob Moffat,Partner,https://uk.linkedin.com/in/robmoff,Greater London,Suranga Chandratillake,General Partner,https://uk.linkedin.com/in/suranga-chandratillake-6a839363,United Kingdom,Daniel Waterhouse,General Partner,https://uk.linkedin.com/in/danielwaterhouse,UK
vc-002,Index Ventures,vc,https://indexventures.com,Jan Hammer,Partner,https://uk.linkedin.com/in/hammerjan,London,Hannah Seal,Partner,https://uk.linkedin.com/in/hannahseal,UK,Martin Mignot,Partner,https://www.linkedin.com/in/martinmignot/,
vc-003,Atomico,vc,https://atomico.com,Ben Blume,Investment Partner,,,Irina Haivas,Investment Partner,,,Terese Hougaard,Investment Partner,,
vc-004,Octopus Ventures,vc,https://octopusventures.com,Erin Platts,CEO,,,Rich Bolton,Partner,https://www.linkedin.com/in/ralbolton/,UK,Edward Keenlan,Partner,,
vc-005,LocalGlobe,vc,https://localglobe.vc,Julia Hawkins,General Partner,https://uk.linkedin.com/in/juliahawkins01,UK,Saul Klein,Founding Partner,,,Robin Klein,Co-founder,,
vc-006,Accel,vc,https://accel.com,Andrei Brasoveanu,Partner,https://uk.linkedin.com/in/andreibrasoveanu,London,Matt Robinson,Partner,https://uk.linkedin.com/in/mattjackrobinson,London,Philippe Botteri,Partner,https://uk.linkedin.com/in/philippebotteri,London
vc-007,Seedcamp,vc,https://seedcamp.com,Tom Wilson,Partner,https://www.linkedin.com/in/tomwilsonseedcamp/,London,Carlos Eduardo Espinal,Partner (MBE),https://www.linkedin.com/in/carloseduardoespinal/,London,Sia Houchangnia,Investment Partner,https://www.linkedin.com/in/siahouchangnia/,London Area
vc-008,Passion Capital,vc,https://passioncapital.com,Eileen Burbidge,Partner,,,Robert Dighero,Co-founder,https://uk.linkedin.com/in/robertdighero,UK,Will Orde,Partner,https://www.linkedin.com/in/willorde/,London
vc-009,MMC Ventures,vc,https://mmc.vc,Bruce Macfarlane,Founder Partner,https://uk.linkedin.com/in/bmacfarlane,UK,Simon Menashy,Partner,https://www.linkedin.com/in/simonmenashy/,London,Feike Du,Investor,https://uk.linkedin.com/in/feikedu,London
vc-010,Forward Partners,vc,https://forwardpartners.com,Nic Brisbourne,Managing Partner,https://uk.linkedin.com/in/brisbourne,UK,Chloé Quesnel,Partner,https://www.linkedin.com/in/chloequesnel/,London,Franck Debane,Partner,https://www.linkedin.com/in/fdebane/,
vc-011,Notion Capital,vc,https://notion.vc,Stephen Chandler,Partner,https://uk.linkedin.com/in/stephen-chandler-7a06366,London,Stephen Millard,Partner,https://www.linkedin.com/in/stephenemillard/,Greater London,Charlotte Salasky,Partner,https://www.linkedin.com/in/charlotte-salasky-b84b266/,London
vc-012,Dawn Capital,vc,https://dawncapital.com,Dan Chaplin,Partner,https://uk.linkedin.com/in/dan-chaplin,UK,Evgenia Plotnikova,Investor,https://www.linkedin.com/in/evgeniaplotnikova/,Greater London,Daniela Raffel Torrebiarte,Vice President,https://uk.linkedin.com/in/daniela-raffel-torrebiarte-0042a280,London
vc-013,Northzone,vc,https://northzone.com,Molly Alter,Partner,https://www.linkedin.com/in/molly-alter-3ab1159a/,,Dennis Eriksson,Partner,https://www.linkedin.com/in/deriksson01/,London Area,Markus Gleim,Partner,https://www.linkedin.com/in/markusgleim/,London
vc-014,Episode 1 Ventures,vc,https://ep1.vc,Simon Murdoch,Partner,https://uk.linkedin.com/in/simonmurdoch,UK,Paul McNabb,Co-Managing Partner,https://uk.linkedin.com/in/paul-mcnabb-92b6177,UK,Adrian Lloyd,Founding Partner,https://uk.linkedin.com/in/adrianelloyd,UK
vc-015,Entrepreneur First,vc,https://joinef.com,Matt Clifford,Co-founder,https://uk.linkedin.com/in/mattcliffordef,UK,Alice Bentinck,Co-founder,https://www.linkedin.com/in/alicebentinck,UK,Joseph Ros,Partner,https://www.linkedin.com/in/josephros,
vc-016,Backed VC,vc,https://backed.vc,Andre de Haes,Partner,https://www.linkedin.com/in/andredehaes/,Greater London,Alex Brunicki,Partner,https://www.linkedin.com/in/alexbrunicki/,London,Clare Hunter,Partner,https://www.linkedin.com/in/clare-hunter/,London
vc-017,Felix Capital,vc,https://felixcap.com,Laurent Droin,Partner and Investor,https://www.linkedin.com/in/laurent-droin-449606/,UK,Frederic Court,Partner,https://uk.linkedin.com/in/fredericcourt,UK,Susan Lin,Investor,https://www.linkedin.com/in/susanravelin/,London
vc-018,Stride VC,vc,https://stride.vc,,,,,,,,,,,
vc-019,Anthemis,vc,https://anthemis.com,Amy Nauiokas,Partner,https://www.linkedin.com/in/amynauiokas/,London,Mei Lim,Managing Partner,,,Alexander Mayall,Investor,https://www.linkedin.com/in/alexandermayall/,London
vc-020,Playfair Capital,vc,https://playfair.vc,Jeevan Sunner,Managing Partner,https://uk.linkedin.com/in/jeevansunner,London,Matt Gill,CFO (CFA),https://www.linkedin.com/in/matt-gill-cfa-a3080530/,,,,
vc-021,Kindred Capital,vc,https://kindredcapital.vc,Leila Rastegar Zegna,Founding General Partner,https://uk.linkedin.com/in/leilazegna,London,Russell Buckley,Partner,https://uk.linkedin.com/in/russellbuckley/ms,UK,Maria Brewer Palma,General Partner,https://uk.linkedin.com/in/mariabrewerpalma,UK
vc-022,Connect Ventures,vc,https://connectventures.co,Rory Stirling,Partner,https://uk.linkedin.com/in/rorystirling,UK,,,,,,,
